,Total Return (%),Ann. Return (%),Ann. Volatility (%),Sharpe Ratio,Calmar Ratio,Max Drawdown (%),Win Rate (%),Best Day (%),Worst Day (%),N Days
IS,30.22,9.32,9.46,0.986,0.68,-13.71,34.0,4.05,-4.57,750
OOS,8.35,2.93,13.42,0.218,0.167,-17.6,38.65,4.75,-6.52,996
