date,total_value
2018-01-02 07:00:00,1000000000.0
2018-01-03 07:00:00,1000000000.0
2018-01-04 07:00:00,1000000000.0
2018-01-05 07:00:00,1000000000.0
2018-01-08 07:00:00,1000000000.0
2018-01-09 07:00:00,1000000000.0
2018-01-10 07:00:00,1000000000.0
2018-01-11 07:00:00,1000000000.0
2018-01-12 07:00:00,1000000000.0
2018-01-15 07:00:00,1000000000.0
2018-01-16 07:00:00,1000000000.0
2018-01-17 07:00:00,1000000000.0
2018-01-18 07:00:00,1000000000.0
2018-01-19 07:00:00,1000000000.0
2018-01-22 07:00:00,1000000000.0
2018-01-23 07:00:00,1000000000.0
2018-01-24 07:00:00,1000000000.0
2018-01-25 07:00:00,1000000000.0
2018-01-26 07:00:00,1000000000.0
2018-01-29 07:00:00,1000000000.0
2018-01-30 07:00:00,1000000000.0
2018-01-31 07:00:00,1000000000.0
2018-02-01 07:00:00,1000000000.0
2018-02-02 07:00:00,1000000000.0
2018-02-05 07:00:00,1000000000.0
2018-02-06 07:00:00,1000000000.0
2018-02-07 07:00:00,1000000000.0
2018-02-08 07:00:00,1000000000.0
2018-02-09 07:00:00,1000000000.0
2018-02-12 07:00:00,1000000000.0
2018-02-13 07:00:00,1000000000.0
2018-02-21 07:00:00,1000000000.0
2018-02-22 07:00:00,1000000000.0
2018-02-23 07:00:00,1000000000.0
2018-02-26 07:00:00,1000000000.0
2018-02-27 07:00:00,1000000000.0
2018-02-28 07:00:00,1000000000.0
2018-03-01 07:00:00,1000000000.0
2018-03-02 07:00:00,1000000000.0
2018-03-05 07:00:00,1000000000.0
2018-03-06 07:00:00,1000000000.0
2018-03-07 07:00:00,1000000000.0
2018-03-08 07:00:00,1000000000.0
2018-03-09 07:00:00,1000000000.0
2018-03-12 07:00:00,1000000000.0
2018-03-13 07:00:00,1000000000.0
2018-03-14 07:00:00,1000000000.0
2018-03-15 07:00:00,1000000000.0
2018-03-16 07:00:00,1000000000.0
2018-03-19 07:00:00,1000000000.0
2018-03-20 07:00:00,1000000000.0
2018-03-21 07:00:00,1000000000.0
2018-03-22 07:00:00,1000000000.0
2018-03-23 07:00:00,1000000000.0
2018-03-26 07:00:00,1000000000.0
2018-03-27 07:00:00,1000000000.0
2018-03-28 07:00:00,1000000000.0
2018-03-29 07:00:00,1000000000.0
2018-03-30 07:00:00,1000000000.0
2018-04-02 07:00:00,1000000000.0
2018-04-03 07:00:00,1000000000.0
2018-04-04 07:00:00,1000000000.0
2018-04-05 07:00:00,1000000000.0
2018-04-06 07:00:00,1000000000.0
2018-04-09 07:00:00,1000000000.0
2018-04-10 07:00:00,1000000000.0
2018-04-11 07:00:00,1000000000.0
2018-04-12 07:00:00,1000000000.0
2018-04-13 07:00:00,1000000000.0
2018-04-16 07:00:00,1000000000.0
2018-04-17 07:00:00,1000000000.0
2018-04-18 07:00:00,1000000000.0
2018-04-19 07:00:00,1000000000.0
2018-04-20 07:00:00,1000000000.0
2018-04-23 07:00:00,1000000000.0
2018-04-24 07:00:00,1000000000.0
2018-04-26 07:00:00,1000000000.0
2018-04-27 07:00:00,1000000000.0
2018-05-02 07:00:00,1000000000.0
2018-05-03 07:00:00,1000000000.0
2018-05-04 07:00:00,1000000000.0
2018-05-07 07:00:00,999133985.3007063
2018-05-08 07:00:00,992071120.3007063
2018-05-09 07:00:00,992071120.3007063
2018-05-10 07:00:00,989314880.3007063
2018-05-11 07:00:00,996377745.3007063
2018-05-14 07:00:00,997583600.3007063
2018-05-15 07:00:00,993104710.3007063
2018-05-16 07:00:00,988798085.3007063
2018-05-17 07:00:00,988279564.5284032
2018-05-18 07:00:00,988279564.5284032
2018-05-21 07:00:00,988279564.5284032
2018-05-22 07:00:00,988279564.5284032
2018-05-23 07:00:00,988279564.5284032
2018-05-24 07:00:00,988279564.5284032
2018-05-25 07:00:00,988279564.5284032
2018-05-28 07:00:00,988279564.5284032
2018-05-29 07:00:00,988279564.5284032
2018-05-30 07:00:00,988279564.5284032
2018-05-31 07:00:00,988279564.5284032
2018-06-01 07:00:00,988279564.5284032
2018-06-04 07:00:00,988279564.5284032
2018-06-05 07:00:00,988279564.5284032
2018-06-06 07:00:00,988279564.5284032
2018-06-07 07:00:00,988279564.5284032
2018-06-08 07:00:00,988279564.5284032
2018-06-11 07:00:00,988279564.5284032
2018-06-12 07:00:00,988279564.5284032
2018-06-13 07:00:00,988279564.5284032
2018-06-14 07:00:00,988279564.5284032
2018-06-15 07:00:00,988279564.5284032
2018-06-18 07:00:00,988279564.5284032
2018-06-19 07:00:00,988279564.5284032
2018-06-20 07:00:00,988279564.5284032
2018-06-21 07:00:00,988279564.5284032
2018-06-22 07:00:00,988279564.5284032
2018-06-25 07:00:00,988279564.5284032
2018-06-26 07:00:00,988279564.5284032
2018-06-27 07:00:00,988279564.5284032
2018-06-28 07:00:00,983376478.2821257
2018-06-29 07:00:00,983376478.2821257
2018-07-02 07:00:00,983376478.2821257
2018-07-03 07:00:00,982842438.2934413
2018-07-04 07:00:00,982842438.2934413
2018-07-05 07:00:00,982842438.2934413
2018-07-06 07:00:00,982842438.2934413
2018-07-09 07:00:00,982842438.2934413
2018-07-10 07:00:00,982842438.2934413
2018-07-11 07:00:00,982842438.2934413
2018-07-12 07:00:00,982842438.2934413
2018-07-13 07:00:00,982842438.2934413
2018-07-16 07:00:00,982842438.2934413
2018-07-17 07:00:00,982842438.2934413
2018-07-18 07:00:00,982842438.2934413
2018-07-19 07:00:00,982842438.2934413
2018-07-20 07:00:00,982842438.2934413
2018-07-23 07:00:00,982842438.2934413
2018-07-24 07:00:00,982842438.2934413
2018-07-25 07:00:00,982842438.2934413
2018-07-26 07:00:00,982842438.2934413
2018-07-27 07:00:00,982842438.2934413
2018-07-30 07:00:00,982842438.2934413
2018-07-31 07:00:00,982842438.2934413
2018-08-01 07:00:00,982842438.2934413
2018-08-02 07:00:00,982842438.2934413
2018-08-03 07:00:00,982842438.2934413
2018-08-06 07:00:00,982362235.7452863
2018-08-07 07:00:00,981030219.7452863
2018-08-08 07:00:00,981832147.7452863
2018-08-09 07:00:00,985420435.7452863
2018-08-10 07:00:00,988342715.7452863
2018-08-13 07:00:00,990476659.7452863
2018-08-14 07:00:00,991006747.7452863
2018-08-15 07:00:00,983830171.7452863
2018-08-16 07:00:00,983694251.7452863
2018-08-17 07:00:00,986480611.7452863
2018-08-20 07:00:00,986480611.7452863
2018-08-21 07:00:00,987812627.7452863
2018-08-22 07:00:00,987676707.7452863
2018-08-23 07:00:00,986480611.7452863
2018-08-24 07:00:00,987540787.7452863
2018-08-27 07:00:00,989144643.7452863
2018-08-28 07:00:00,992066923.7452863
2018-08-29 07:00:00,992325171.7452863
2018-08-30 07:00:00,994323195.7452863
2018-08-31 07:00:00,993127099.7452863
2018-09-04 07:00:00,978638027.7452863
2018-09-05 07:00:00,987268947.7452863
2018-09-06 07:00:00,983898131.7452863
2018-09-07 07:00:00,984577731.7452863
2018-09-10 07:00:00,984441811.7452863
2018-09-11 07:00:00,988614555.7452863
2018-09-12 07:00:00,987934955.7452863
2018-09-13 07:00:00,985243739.7452863
2018-09-14 07:00:00,986589347.7452863
2018-09-17 07:00:00,983898131.7452863
2018-09-18 07:00:00,986861187.7452863
2018-09-19 07:00:00,987133027.7452863
2018-09-20 07:00:00,987404867.7452863
2018-09-21 07:00:00,987133027.7452863
