date,ticker,direction,shares,price,commission,sales_tax,slippage,total_cost,cash_after
2021-04-14 07:00:00,VHM,BUY,2646200,72.666315,240362.00344124998,0.0,96096.75300000496,240362.00344124998,807470035.2435588
2021-05-17 07:00:00,VHM,SELL,2646200,73.33331500000001,242568.27269125005,194054.61815300002,97075.8469999773,436622.8908442501,1001088030.5057145
2021-05-27 07:00:00,VHM,BUY,2566000,78.19908,250823.5491,0.0,100279.27999999603,250823.5491,800178367.6766145
2021-06-29 07:00:00,VNM,BUY,2902700,69.404685,251826.22393687503,0.0,100680.14949998862,251826.22393687503,598465562.3031776
2021-07-02 07:00:00,VNM,SELL,2902700,70.254855,254910.95951062502,203928.7676085,102015.39149999995,458839.727119125,801935490.1845585
2021-07-02 07:00:00,VHM,SELL,2566000,86.37679,277053.553925,221642.84313999998,110876.86000000505,498696.397065,1023079636.9274935
2021-08-13 07:00:00,STB,BUY,6921800,29.6148,256234.65329999998,0.0,102442.63999998257,256234.65329999998,817835679.6341934
2021-08-19 07:00:00,TCB,BUY,8215100,24.8124,254795.43405,0.0,101867.23999999608,254795.43405,613744536.9601434
2021-08-24 07:00:00,HPG,BUY,7532500,27.263624999999998,256704.06914062498,0.0,102630.31249998159,256704.06914062498,408124577.5785029
2021-08-25 07:00:00,TCB,SELL,8215100,23.08845,237092.40699375005,189673.92559500004,94884.40499999776,426766.33258875005,597371736.8409141
2021-08-27 07:00:00,STB,SELL,6921800,26.986500000000003,233493.94462500003,186795.15570000003,93444.29999997895,420289.10032500006,783746603.4405892
2021-09-16 07:00:00,VPB,BUY,9840800,20.960475,257834.802975,0.0,103082.37999999576,257834.802975,577220926.2576141
2021-10-15 07:00:00,TCB,BUY,8261500,25.002494999999996,258197.64055312498,0.0,103227.44249998101,258197.64055312498,370404616.174561
2021-11-08 07:00:00,STB,BUY,7409900,27.663824999999996,256232.72108437496,0.0,102441.86749997843,256232.72108437496,165162206.58597666
2021-11-08 07:00:00,CTG,BUY,10453300,19.6098,256233.902925,0.0,102442.33999998408,256233.902925,-40081149.65694836
2021-11-22 07:00:00,HPG,SELL,7532500,27.5862,259741.31437500002,207793.0515,103948.49999999859,467534.365875,167244367.47717664
2021-11-24 07:00:00,VPB,SELL,9840800,21.259365000000003,261511.44886500004,209209.15909200005,104656.9079999711,470720.6079570001,375982805.96121967
2021-12-13 07:00:00,TCB,SELL,8261500,23.748120000000004,245243.86672500003,196195.09338000003,98146.61999998259,441438.96010500006,571736460.3811147
2022-01-05 07:00:00,CTG,SELL,10453300,21.479255,280661.37036437495,224529.09629149997,112320.70850000005,505190.4666558749,795760366.2059588
2022-02-09 07:00:00,TCB,BUY,8049400,25.522755,256803.58012125,0.0,102670.09699998806,256803.58012125,590060698.5288376
2022-02-24 07:00:00,HPG,BUY,7649000,26.783385,256082.63983124998,0.0,102381.86499999645,256082.63983124998,384938504.02400637
2022-03-10 07:00:00,STB,SELL,7409900,31.734125000000002,293933.366046875,235146.6928375,117632.16249998251,529080.058884375,619556116.802622
2022-03-10 07:00:00,TCB,SELL,8049400,23.518235,236634.60101125002,189307.680809,94701.19100000378,425942.28182025003,808437855.3298018
2022-04-06 07:00:00,HPG,SELL,7649000,26.32683,251717.40333750003,201373.92267000003,100737.32999999078,453091.32600750006,1009358686.6737943
2022-06-13 07:00:00,VHM,BUY,2994600,66.53325,249050.5880625,0.0,99570.44999998604,249050.5880625,809869165.6357318
2022-06-28 07:00:00,VHM,SELL,2994600,63.468250000000005,237577.52681250003,190062.02145000003,95078.54999998587,427639.5482625001,999503547.5374694
2022-07-13 07:00:00,STB,BUY,8845100,22.6113,249999.0120375,0.0,99949.62999998702,249999.0120375,799254338.8954319
2022-08-08 07:00:00,SSI,BUY,12064000,16.8084,253470.672,0.0,101337.59999997812,253470.672,596224330.6234319
2022-08-15 07:00:00,HPG,BUY,11025900,18.249119999999998,251516.21525999997,0.0,100556.20799999284,251516.21525999997,394759842.20017195
2022-09-16 07:00:00,VHM,BUY,3304100,60.029999999999994,247931.40374999997,0.0,99122.99999998028,247931.40374999997,196166787.79642197
2022-09-19 07:00:00,STB,SELL,8845100,22.588700000000003,249749.13796250004,199799.31037000005,99949.62999998702,449548.44833250006,395516549.7180895
2022-09-19 07:00:00,VHM,SELL,3304100,59.57020000000001,246032.37227500003,196825.89782,98462.17999998182,442858.27009500004,591899589.2679945
2022-09-20 07:00:00,SSI,SELL,12064000,13.493250000000002,203478.21000000005,162782.56800000003,81431.99999998165,366260.77800000005,754315896.4899945
2022-09-28 07:00:00,HPG,SELL,11025900,16.791600000000003,231428.12805000003,185142.50244000004,92617.55999998,416570.63049000007,939041828.2995045
2022-12-02 07:00:00,STB,BUY,10251300,19.8099,253846.5348375,0.0,101487.869999982,253846.5348375,735710753.894667
